id,Claude_Sonnet_4.5_Enabled/reward,Claude_Opus_4.5_High/reward,Gemini_3_Flash_High/reward,Gemini_3_Pro_High/reward,GLM_5_Enabled/reward,GPT_5.2_None/reward,GPT_5.2_High/reward,Qwen3.5_397B_A17B_Enabled/reward,difficulty
37,0.75,1.0,0.0,1.0,1.0,0.75,0.75,1.0,level0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
3,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
29,0.0,0.25,0.0,0.75,0.25,0.25,0.0,0.0,level0
45,0.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,level0
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
28,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
32,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.75,level0
1,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
31,1.0,0.5,0.75,0.5,0.5,0.75,0.75,0.75,level0
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
34,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,level0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
16,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
18,0.75,0.75,1.0,0.5,1.0,0.5,0.75,0.0,level0
19,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,level0
9,1.0,1.0,0.0,1.0,0.5,0.75,1.0,0.5,level0
22,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
11,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,level0
25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,level0
15,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,level0
42,0.75,1.0,0.0,1.0,1.0,1.0,0.25,0.0,level0
43,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,level0
30,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
27,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,level0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
7,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,level0
8,0.75,0.75,0.75,1.0,1.0,0.75,1.0,0.75,level0
5,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,level0
12,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,level0
41,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
17,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,level0
2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,level0
38,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,level0
39,0.75,0.0,0.0,0.25,0.0,0.25,0.0,1.0,level0
20,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,level0
23,0.25,0.0,0.0,0.0,0.5,0.5,0.0,1.0,level0
24,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,level0
21,0.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,level0
33,0.25,0.75,0.0,1.0,0.75,0.5,1.0,0.75,level0
14,0.0,0.75,0.0,0.0,0.5,0.5,1.0,1.0,level0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,level0
35,0.0,0.5,0.0,0.25,0.5,0.5,1.0,0.25,level0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
6,0.75,0.75,1.0,0.75,1.0,1.0,0.75,0.25,level0
